nama_produk,harga,diskon,rating,terjual,toko,lokasi,link,scraped_at
iBox Apple iPhone 15 5G 128GB 256GB 512GB | not pro max 13 14,Rp12.079.000,17%,5.0,100+ terjual,New RizkyApple,Jakarta Pusat,https://www.tokopedia.com/new-rizkyapple/ibox-apple-iphone-15-5g-128gb-256gb-512gb-not-pro-max-13-14-128gb-black-78645,2026-04-30T09:17:12.600057
(RESMI) iPhone 15 Pro 15 Pro Max 128GB 256 512 1TB Titanium RESMI IBOX,Rp25.899.000,,4.8,100+ terjual,Tokohapedia IDN,Jakarta Barat,https://www.tokopedia.com/tokohapedia-idn/resmi-iphone-15-pro-15-pro-max-128gb-256-512-1tb-titanium-resmi-ibox-15-pro-128gb-natural-ce597,2026-04-30T09:17:12.600072
Apple iPhone 15 Pro Max 128GB 256GB 512GB 1TB Second Original Resmi iBox Fullset,Rp14.295.000,,5.0,5 terjual,Maxsense Store,Tangerang Selatan,https://www.tokopedia.com/maxsense/apple-iphone-15-pro-max-128gb-256gb-512gb-1tb-second-original-resmi-ibox-fullset-1732322345051457046,2026-04-30T09:17:12.600076
iphone 15 Pro Max | Pro| Pro Max 128GB 256GB 512GB 1TB Second Original Sinyal ON,Rp16.000.000,,5.0,1 terjual,AOSHOPPP,Jakarta Utara,https://www.tokopedia.com/aoshoppp/iphone-15-pro-max-pro-pro-max-128gb-256gb-512gb-1tb-second-original-sinyal-on-1731271942792578217,2026-04-30T09:17:12.600078
1 iphone 15 pro Max 256gb 128gb 64gb bisa game ganti housing xr bypass minus mulus second original ful 1lset,Rp2.812.500,,5.0,5 terjual,sofiney,Jakarta Utara,https://www.tokopedia.com/sofiney/1-iphone-15-pro-max-256gb-128gb-64gb-bisa-game-ganti-housing-xr-bypass-minus-mulus-second-original-ful-1lset-1730870403688990372,2026-04-30T09:17:12.600080
Lenovo TYPE C USB Flash Drive 2 IN 1 USB Stick 3.0 128GB Pen Drive 2TB 1TB Waterproof Pendrive Memory Disk  Iphone 15 Pro Max,Rp345.000,,,,iibbuuppaawwiittaahhh,Jakarta Pusat,https://www.tokopedia.com/iibbuuppaawwiittaah/lenovo-type-c-usb-flash-drive-2-in-1-usb-stick-3-0-128gb-pen-drive-2tb-1tb-waterproof-pendrive-memory-disk-iphone-15-pro-max-1730871709371696317,2026-04-30T09:17:12.600082
"Ultra Dual Drive GO OTG Type-C 256GB USB 3.2 - Black,128GB 64GB Flashdisk & Flashdisk OTG for iphone 15 pro max flash disk flash  disk  type  c Storage",Rp66.000,33%,4.8,12 terjual,ZAMZAM RISDIYAS,Jakarta Utara,https://www.tokopedia.com/zamzam-risdiyas/ultra-dual-drive-go-otg-type-c-256gb-usb-3-2-black-128gb-64gb-flashdisk-flashdisk-otg-for-iphone-15-pro-max-flash-disk-flash-disk-type-c-storage-1730648112903062567,2026-04-30T09:17:12.600084
Iphone 16 Plus 128gb Resmi ibox bli bli not 16 pro max 15 pro max,Rp14.750.000,,5.0,1 terjual,Rakit PC 212,Tangerang,https://www.tokopedia.com/rakitpc212/iphone-16-plus-128gb-resmi-ibox-bli-bli-not-16-pro-max-15-pro-max-1732212510759093558,2026-04-30T09:17:12.600086
iPhone 15 Pro | 15 Pro Max Second Resmi ex iBox BC Beacukai IMEI Permanen 100% Original FULLSET 128GB 256GB 512GB 1TB,Rp16.999.000,20%,5.0,3 terjual,Ciwiciwi Kitar,Jakarta Selatan,https://www.tokopedia.com/ciwiciwi-kitar/iphone-15-pro-15-pro-max-second-resmi-ex-ibox-bc-beacukai-imei-permanen-100-original-fullset-128gb-256gb-512gb-1tb-1731217849502958773,2026-04-30T09:17:12.600093
Iphone 15 - 15 pro - 15 pro max 128gb 256gb second fullset mulus,Rp9.099.000,,5.0,2 terjual,joytaro gadget,Jakarta Timur,https://www.tokopedia.com/joytaro-gadget/iphone-15-15-pro-15-pro-max-128gb-256gb-second-fullset-mulus-1733284086826632796,2026-04-30T09:17:12.600095
iBox | iPhone 15 | Pro | Pro Max 128GB 256GB 512GB Second Garansi iBox,Rp7.899.000,,5.0,19 terjual,Panda Jaya Gadget,Tangerang Selatan,https://www.tokopedia.com/panda-jaya-gadget/ibox-iphone-15-pro-pro-max-128gb-256gb-512gb-second-garansi-ibox-1733330116688840101,2026-04-30T09:17:12.600097
Iphone 15 pro - iphone 15 pro max 128gb 256gb 512gb 1TB fullset,Rp11.699.000,,5.0,8 terjual,joytaro gadget,Jakarta Timur,https://www.tokopedia.com/joytaro-gadget/iphone-15-pro-iphone-15-pro-max-128gb-256gb-512gb-1tb-fullset-1732257989422515804,2026-04-30T09:17:12.600099
Lenovo TYPE-C USB Flash Drive 2 IN 1 USB Stick 3.0 128GB Pen Drive 2TB 1TB Waterproof Pendrive Memory Disk For Iphone 15 Pro Max,Rp255.000,,,,nylam st0re,Jakarta Timur,https://www.tokopedia.com/nst0re/lenovo-type-c-usb-flash-drive-2-in-1-usb-stick-3-0-128gb-pen-drive-2tb-1tb-waterproof-pendrive-memory-disk-for-iphone-15-pro-max-1731676812613551181,2026-04-30T09:17:12.600100
Lenovo TYPE-C USB Flash Drive 2 IN 1 USB Stick 3.0 128GB Pen Drive 2TB 1TB Waterproof Pendrive Memory Disk For Iphone 15 Pro Max,Rp255.000,,,,feres shop,Jakarta Timur,https://www.tokopedia.com/feresshop/lenovo-type-c-usb-flash-drive-2-in-1-usb-stick-3-0-128gb-pen-drive-2tb-1tb-waterproof-pendrive-memory-disk-for-iphone-15-pro-max-1732127294269785935,2026-04-30T09:17:12.600102
Lenovo TYPE-C USB Flash Drive 2 IN 1 USB Stick 3.0 128GB Pen Drive 2TB 1TB Waterproof Pendrive Memory Disk For Iphone 15 Pro Max,Rp255.000,,,,Allyisbhaa,Jakarta Timur,https://www.tokopedia.com/allyisbhaa/lenovo-type-c-usb-flash-drive-2-in-1-usb-stick-3-0-128gb-pen-drive-2tb-1tb-waterproof-pendrive-memory-disk-for-iphone-15-pro-max-1735205357459965498,2026-04-30T09:17:12.600104
iPhone 15 | 15 Pro | 15 Pro Max 512GB 256GB 128GB Second Fullset Garansi Ex iBox,Rp9.795.000,,,2 terjual,MACBIN,Tangerang Selatan,https://www.tokopedia.com/macbin/iphone-15-15-pro-15-pro-max-512gb-256gb-128gb-second-fullset-garansi-ex-ibox-iphone-15-128gb-a899a,2026-04-30T09:17:12.600105
iPhone 15 Pro Max 1TB 512GB 256GB 128GB Fullset Second iBox,Rp15.899.000,,,5 terjual,MACBIN,Tangerang Selatan,https://www.tokopedia.com/macbin/iphone-15-pro-max-1tb-512gb-256gb-128gb-fullset-second-ibox-1732929942137701636,2026-04-30T09:17:12.600107
iphone 7 ibox 128gb black not 6 s plus 8 x xr 11 12 13 14 15 pro max,Rp1.650.000,,,2 terjual,parashoed.id,Kab. Bogor,https://www.tokopedia.com/parashoed/iphone-7-ibox-128gb-black-not-6-s-plus-8-x-xr-11-12-13-14-15-pro-max,2026-04-30T09:17:12.600109
iPhone 15 Pro Max 128gb 256gb IBOX,Rp17.299.999,,,,Wins Gadget,Jakarta Timur,https://www.tokopedia.com/winsgadget1st/iphone-15-pro-max-128gb-256gb-ibox-1731735507626263700,2026-04-30T09:17:12.600113
Flashdisk Flash Disk SSD 128GB 256GB 512GB 1TB 2TB 4TB 10GBps Portable USB-C Type-C USB3.2 Gen2 Compatible For Macbook iMac Mac Mini Mac Studio iPhone 15 Pro Max Plus iPad Pro M1 M2 HP Android Samsung Xiaomi Oppo Tablet Notebook Laptop Windows Komputer PC,Rp1.199.000,,5.0,4 terjual,Technobitz,Denpasar,https://www.tokopedia.com/technobitzzz/flashdisk-flash-disk-ssd-128gb-256gb-512gb-1tb-2tb-4tb-10gbps-portable-usb-c-type-c-usb3-2-gen2-compatible-for-macbook-imac-mac-mini-mac-studio-iphone-15-pro-max-plus-ipad-pro-m1-m2-hp-android-samsung-xiaomi-oppo-tablet-notebook-laptop-windows-komputer-pc-1731367650494940690,2026-04-30T09:17:12.600115
IPHONE 15 PRO MAX - 128GB & 256GB (SECOND),Rp11.300.000,,5.0,2 terjual,Abah Apple Official,Pontianak,https://www.tokopedia.com/abah-apple-official/iphone-15-pro-max-128gb-256gb-second-1733499872242468675,2026-04-30T09:17:12.600117
BISA INSTAN Flashdisk Flash Disk SSD 128GB 256GB 512GB 1TB 2TB 4TB 10GBps Portable USB-C Type-C USB 3.2 Gen 2  For Macbook iMac Mac Mini Mac Studio iPhone 15 Pro Max Plus iPad Pro M1 M2 HP Android Samsung Xiaomi Oppo Tablet Notebook Laptop Windows,Rp1.199.000,,5.0,1 terjual,Dinamiz,Denpasar,https://www.tokopedia.com/dinamizzz/bisa-instan-flashdisk-flash-disk-ssd-128gb-256gb-512gb-1tb-2tb-4tb-10gbps-portable-usb-c-type-c-usb-3-2-gen-2-for-macbook-imac-mac-mini-mac-studio-iphone-15-pro-max-plus-ipad-pro-m1-m2-hp-android-samsung-xiaomi-oppo-tablet-notebook-laptop-windows-1729815325407151828,2026-04-30T09:17:12.600119
Iphone 15 Pro Max Ori Ibox 128gb,Rp20.500.000,,,,curatedbyminanti,Tangerang Selatan,https://www.tokopedia.com/curatedbyminanti/iphone-15-pro-max-ori-ibox-128gb-1731029454021690920,2026-04-30T09:17:12.600120
iPhone 15 Pro Max 128GB 256GB 512GB Second All Provider & Bea Cukai Original Like New Fullset Bergaransi,Rp15.692.000,,,,Jordan Corner Store,Kab. Sleman,https://www.tokopedia.com/jbgadgetstore/iphone-15-pro-max-128gb-256gb-512gb-second-all-provider-bea-cukai-original-like-new-fullset-bergaransi-1732110399097833001,2026-04-30T09:17:12.600122
"Ultra Dual Drive GO OTG Type-C 256GB USB 3.2 - Black,128GB 64GB Flashdisk & Flashdisk OTG for iphone 15 pro max",Rp459.000,,,,AGEN SINLES MOTIF TERRBARRRU,Kab. Tangerang,https://www.tokopedia.com/agensinles/ultra-dual-drive-go-otg-type-c-256gb-usb-3-2-black-128gb-64gb-flashdisk-flashdisk-otg-for-iphone-15-pro-max-1732100236134614430,2026-04-30T09:17:12.600123
Apple iPhone 15 Pro Max 128GB & 256GB Second Used Seken Secondhand Bekas Ex Resmi Indonesia,Rp15.412.800,22%,,,Lapakgadget.idn,Jakarta Timur,https://www.tokopedia.com/lapakgadgetidn/apple-iphone-15-pro-max-128gb-256gb-second-used-seken-secondhand-bekas-ex-resmi-indonesia-1734657214301176989-1734657532532327581,2026-04-30T09:17:12.600125
Apple iPhone 15 & 16 Pro Max 128GB 256GB 512GB 1TB Led Resmi Apple Dengan Pilihan Warna Hitam Biru Pink Kuning Hijau Amanah,Rp12.500.000,,,,Hokky Jastip Bali,Denpasar,https://www.tokopedia.com/hokkyjastip/apple-iphone-15-16-pro-max-128gb-256gb-512gb-1tb-led-resmi-apple-dengan-pilihan-warna-hitam-biru-pink-kuning-hijau-amanah-1731847226959562443,2026-04-30T09:17:12.600127
Apple iPhone 15 | 15 PRO MAX 1TB 512GB 256GB 128GB Original Garansi Resmi Indonesia,Rp8.685.000,,,2 terjual,AFAGADGET,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-15-15-pro-max-1tb-512gb-256gb-128gb-original-garansi-resmi-indonesia-1732640669619946608,2026-04-30T09:17:12.600128
Apple iPhone 15 Pro Max 512GB 256GB 128GB Original Garansi Resmi iBox Indonesia,Rp11.984.000,,,1 terjual,AFAGADGET,Depok,https://www.tokopedia.com/afagadgetstore/apple-iphone-15-pro-max-512gb-256gb-128gb-original-garansi-resmi-ibox-indonesia-1732639966219306096,2026-04-30T09:17:12.600130
Iphone apple 15 pro max 128Gb resmi indonesia,Rp23.099.999,,,,CALVM.ID,Kab. Bogor,https://www.tokopedia.com/calvmid/iphone-apple-15-pro-max-128gb-resmi-indonesia-1730946459691811965,2026-04-30T09:17:12.600131
"IBOX Apple iPhone 15 Pro Max 128GB, 256GB, 512GB, 1TB Titanium - NEW",Rp22.800.000,,,,Gadget Lab Official,Malang,https://www.tokopedia.com/gadgetlab/ibox-apple-iphone-15-pro-max-128gb-256gb-512gb-1tb-titanium-new-natural-256-gb-36a0e,2026-04-30T09:17:12.600133
