nama_produk,harga,diskon,rating,terjual,toko,lokasi,link,scraped_at
PS5 Dualsense Controller Case Armored Core VI Fires of Rubicon Edition,Rp175.000,,5.0,8 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-controller-case-armored-core-vi-fires-of-rubicon-edition,2026-04-30T09:22:32.023562
Ps5 DragonBall Sparking Zero - Dragon Ball Dragon-Ball,Rp749.000,,5.0,100+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dragonball-sparking-zero-dragon-ball-dragon-ball-1730279493661197831-1735251514235061767,2026-04-30T09:22:32.023577
Lucky Fox PS5 Dualsense Silicon / Silikon / Casing Case (LF-0513),Rp133.000,,5.0,3 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/lucky-fox-ps5-dualsense-silicon-silikon-casing-case-lf-0513-1731441307683489287,2026-04-30T09:22:32.023581
"Fantech CARBON 7.1 HG30 / HG-30 Headset Gaming USB 7.1 Virtual Surround Sound Mic Noise Cancelling, Driver 40 mm, PC Laptop Mac, PS4 PS5, Switch",Rp445.000,44%,5.0,12 terjual,GOODGAMINGSHOP,Jakarta Pusat,https://www.tokopedia.com/goodgamingshop/fantech-carbon-7-1-hg30-hg-30-headset-gaming-usb-7-1-virtual-surround-sound-mic-noise-cancelling-driver-40-mm-pc-laptop-mac-ps4-ps5-switch-1731381685574534823,2026-04-30T09:22:32.023583
ADATA XPG Mars 980 Pro 1TB - PCIe Gen 5 x4 M.2 2280 - SSD NVMe Heatsink 1TB - SSD For PS5 - Garansi Resmi,Rp4.648.000,,5.0,5 terjual,SSD SOLUTION STORE,Jakarta Barat,https://www.tokopedia.com/ssdsolution/adata-xpg-mars-980-pro-1tb-pcie-gen-5-x4-m-2-2280-ssd-nvme-heatsink-1tb-ssd-for-ps5-garansi-resmi-1732042058382280354,2026-04-30T09:22:32.023585
Seagate Game Drive Astro Bot Limited Edition PS4 / PS5 HDD / Hardisk Eksternal USB3.0,Rp3.140.000,16%,5.0,22 terjual,Seagate Official Store,Jakarta Pusat,https://www.tokopedia.com/seagate-official-store/seagate-game-drive-astro-bot-limited-edition-ps4-ps5-hdd-hardisk-eksternal-usb3-0-1733933483152934753,2026-04-30T09:22:32.023587
AOLION AL-P5030 CHARGING DOCK | Dual Charging Station For PS5 Controller,Rp142.000,,5.0,1 terjual,RedTeknologi-Redcom,Jakarta Barat,https://www.tokopedia.com/redteknologi/aolion-al-p5030-charging-dock-dual-charging-station-for-ps5-controller,2026-04-30T09:22:32.023589
PS5 DualSense Wireless Controller - Midnight Black / Stick / Stik,Rp1.270.000,,5.0,5 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-wireless-controller-midnight-black-stick-stik-1733133674105112071,2026-04-30T09:22:32.023591
Lexar NM790 2TB NVMe 2TB Lexar SSD 2TB NVMe PCIe Gen4x4 PS5,Rp5.799.000,,5.0,60+ terjual,DIGITAL ZONE_NEW,Jakarta Pusat,https://www.tokopedia.com/digitalzone/lexar-nm790-2tb-nvme-2tb-lexar-ssd-2tb-nvme-pcie-gen4x4-ps5-non-heatsink-7ccd2,2026-04-30T09:22:32.023592
Ps5 Dualsense Monster Hunter Wilds Limited Edition Version / Dual-sense / Controller / Stik / Stick,Rp1.955.000,,5.0,3 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-monster-hunter-wilds-limited-edition-version-dual-sense-controller-stik-stick-1730958762842097159,2026-04-30T09:22:32.023594
PS5 Dual Sense / Dualsense / Stik / Stick / Controller PS 5,Rp1.295.000,,5.0,29 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dual-sense-dualsense-stik-stick-controller-ps-5-1730916843900339719,2026-04-30T09:22:32.023595
Lucky Fox Dualsense / Stik PS5 Silicon Case / Silikon / SIlicone (LF-0513),Rp88.000,,5.0,50+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/lucky-fox-dualsense-stik-ps5-silicon-case-silikon-silicone-lf-0513-1730916836189963783,2026-04-30T09:22:32.023597
Ps5 Puzzle Bobble 3D Vacation Odyssey / Bubble Bobble,Rp490.000,,5.0,4 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-puzzle-bobble-3d-vacation-odyssey-bubble-bobble,2026-04-30T09:22:32.023599
"CORSAIR VOID WIRELESS v2 Gaming Headset with Bluetooth for PC, PS5, PS4, Switch, Mobile Dolby Atmos Dual Wireless - Headset Gaming",Rp2.799.000,,5.0,15 terjual,GOODGAMINGSHOP,Jakarta Pusat,https://www.tokopedia.com/goodgamingshop/corsair-void-wireless-v2-gaming-headset-with-bluetooth-for-pc-ps5-ps4-switch-mobile-dolby-atmos-dual-wireless-headset-gaming-1731288331577755303,2026-04-30T09:22:32.023605
Silent Hill 2The Great Knife Style Ball Pen / Bolpen / Pena / Ps5,Rp249.000,,5.0,4 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/silent-hill-2the-great-knife-style-ball-pen-bolpen-pena-ps5,2026-04-30T09:22:32.023607
Steelseries Arctis Nova 3P / Nova 3 P - For PS4 | PS5 Wireless & Bluetooth wtih Mobile App Control - Gaming Headset,Rp2.189.000,,5.0,1 terjual,GOODGAMINGSHOP,Jakarta Pusat,https://www.tokopedia.com/goodgamingshop/steelseries-arctis-nova-3p-nova-3-p-for-ps4-ps5-wireless-bluetooth-wtih-mobile-app-control-gaming-headset-1731731062292252327,2026-04-30T09:22:32.023608
Seagate Game Drive PS5 HDD / Hardisk Eksternal USB3.0,Rp2.245.000,13%,5.0,250+ terjual,Seagate Official Store,Jakarta Pusat,https://www.tokopedia.com/seagate-official-store/seagate-game-drive-ps5-hdd-hardisk-eksternal-usb3-0-2tb-d9903,2026-04-30T09:22:32.023610
PS5 DualSense Wireless Controller - Starlight Blue / Stick / Stik,Rp1.270.000,,5.0,1 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-wireless-controller-starlight-blue-stick-stik-1730812413691856362,2026-04-30T09:22:32.023612
PS5 Wuchang Official Merchandise Hanging Scroll,Rp103.000,,5.0,2 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-wuchang-official-merchandise-hanging-scroll-1732195152058418695,2026-04-30T09:22:32.023615
"Steelseries Arctis Nova 3 Gaming Headset for Xbox PS4, PS5",Rp1.790.000,,5.0,1 terjual,Duta Mandiri Infokom,Jakarta Pusat,https://www.tokopedia.com/d-m-i/steelseries-arctis-nova-3-gaming-headset-for-xbox-ps4-ps5-1731004385559414020,2026-04-30T09:22:32.023617
PS5 DualSense Wireless Controller - Chroma Indigo / Stick / Stik,Rp1.295.000,,5.0,5 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-wireless-controller-chroma-indigo-stick-stik-1733133421909870087,2026-04-30T09:22:32.023619
Seagate Game Drive SSD Eksternal / Portable SSD USB3.2 Type-C for PS4 / PS5,Rp3.460.000,15%,5.0,13 terjual,Seagate Official Store,Jakarta Pusat,https://www.tokopedia.com/seagate-official-store/seagate-game-drive-ssd-eksternal-portable-ssd-usb3-2-type-c-for-ps4-ps5-1731144474560399201,2026-04-30T09:22:32.023620
PS5 God Of War Ragnarok / Gow Ragnarok,Rp348.500,,5.0,250+ terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-god-of-war-ragnarok-gow-ragnarok-1730916836020094471,2026-04-30T09:22:32.023622
PS5 DualSense Wireless Controller - Cobalt Blue / Stick / Stik,Rp1.270.000,,5.0,2 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-dualsense-wireless-controller-cobalt-blue-stick-stik-1733133419409475079,2026-04-30T09:22:32.023623
CORSAIR MP600 PRO LPX 1TB PCIe Gen4 x4 NVMe M.2 SSD - PS5 Compatible,Rp4.409.000,,5.0,100+ terjual,Gamer's Outpost,Jakarta Pusat,https://www.tokopedia.com/gamersoutpost/corsair-mp600-pro-lpx-1tb-pcie-gen4-x4-nvme-m-2-ssd-ps5-compatible-hitam,2026-04-30T09:22:32.023625
Lexar LPAH100 - M.2 2280 NVMe NGFF SSD Heatsink Cooler I Support PS5,Rp195.000,,5.0,5 terjual,Duta Mandiri Infokom,Jakarta Pusat,https://www.tokopedia.com/d-m-i/lexar-lpah100-m-2-2280-nvme-ngff-ssd-heatsink-cooler-i-support-ps5,2026-04-30T09:22:32.023626
Ps5 Slitterhead / Slitter Heads / Slitterheads / Slitter Head,Rp654.000,,5.0,2 terjual,GameBayID,Jakarta Barat,https://www.tokopedia.com/gamebay/ps5-slitterhead-slitter-heads-slitterheads-slitter-head,2026-04-30T09:22:32.023628
